code,name,industry,as_of_date,formal_category,formal_final_score_v1,chip_bonus_v1,v1_rank,v2_rank,v21_rank,capital_flow_score_v2_shadow,capital_flow_score_v21_shadow,capital_flow_v21_delta,foreign_flow_last5,trust_flow_last5,capital_flow_v2_available,capital_flow_v2_unavailable_reason,dealer_flow_detail_level,dealer_hedge_flow_5d,dealer_hedge_flow_5d_shares,dealer_prop_flow_5d,dealer_prop_flow_5d_shares,dealer_unknown_flow_5d,dealer_unknown_flow_5d_shares,flow_identity_score,flow_intensity_score,flow_momentum_score,flow_momentum_score_v21,flow_momentum_score_v2_original,flow_persistence_score,flow_price_confirmation_score,flow_price_quadrant,flow_price_state,flow_relative_score,flow_relative_score_v21,flow_relative_score_v2_original,foreign_active_days_5,foreign_amount_ratio_5d,foreign_consecutive_buy,foreign_flow_10d,foreign_flow_10d_shares,foreign_flow_1d,foreign_flow_1d_shares,foreign_flow_3d,foreign_flow_3d_shares,foreign_flow_5d,foreign_flow_5d_shares,foreign_flow_active_percentile_v21,foreign_flow_activity,foreign_flow_direction,foreign_flow_intensity_active_percentile,foreign_flow_intensity_percentile,foreign_flow_momentum,foreign_flow_percentile,foreign_flow_percentile_v2_original,foreign_flow_ratio_10d,foreign_flow_ratio_1d,foreign_flow_ratio_3d,foreign_flow_ratio_5d,foreign_momentum_component,foreign_positive_days_10,foreign_positive_days_5,foreign_signed_flow_strength,multi_flow_confirmation,return_1d,return_3d,return_5d,rs20,rs20_percentile,rs5,rs60,rs60_percentile,rs_20d,rs_5d,shadow_mode,stock_return20,stock_return5,stock_return60,taiex_return20,taiex_return5,taiex_return60,trust_active_days_5,trust_amount_ratio_5d,trust_consecutive_buy,trust_flow_10d,trust_flow_10d_shares,trust_flow_1d,trust_flow_1d_shares,trust_flow_3d,trust_flow_3d_shares,trust_flow_5d,trust_flow_5d_shares,trust_flow_active_percentile_v21,trust_flow_activity,trust_flow_direction,trust_flow_intensity_active_percentile,trust_flow_intensity_percentile,trust_flow_momentum,trust_flow_percentile,trust_flow_percentile_v2_original,trust_flow_ratio_10d,trust_flow_ratio_1d,trust_flow_ratio_3d,trust_flow_ratio_5d,trust_momentum_component,trust_positive_days_10,trust_positive_days_5,trust_signed_flow_strength
3338,泰碩,電子零組件,2026-08-10,excluded,0,0,640,684,704,6.0,0.0,-6.0,"[49, -44839, -29339, -117030, -102000]","[0, 0, 0, 0, 0]",True,,split,0.0,0,-9.183,-9183,0.0,0,0.0,0.0,-3.5,-3.5,4.5,1.5,0.0,Q4,confirmed_distribution,0.0,0.0,0.0,5,-0.1321956142619515,0,-14.716,-14716,-102.0,-102000,-248.369,-248369,-293.159,-293159,65.4,active,negative,65.4,15.25,stable,15.25,15.25,-0.0025713786475624672,-0.2073170731707317,-0.19358456742010913,-0.13277128623188406,-3.5,3,1,-65.4,False,-1.0937500000000044,-0.4716981132075526,-0.7836990595611271,-6.189258535348197,32.99,-4.3386136934187025,-15.4695478470518,30.38,-6.189258535348197,-4.3386136934187025,True,-7.184750733137834,-0.7836990595611271,-7.860262008733631,-0.995492197789638,3.5549146338575754,7.609285838318169,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,inactive,zero,,51.76,inactive,51.76,51.76,0.0,0.0,0.0,0.0,0.0,0,0,0.0
3339,泰谷,光電業,2026-08-10,excluded,0,0,641,644,540,6.5,5.5,-1.0,"[144000, -309000, -1018000, 151210, -78684]","[0, 0, 0, 0, 0]",True,,split,5.163,5163,0.0,0,0.0,0,0.0,0.0,3.0,3.0,4.0,2.5,0.0,Q3,absorption_divergence,0.0,0.0,0.0,5,-0.06610820898603383,0,-702.922,-702922,-78.684,-78684,-945.474,-945474,-1110.474,-1110474,35.12,active,negative,35.12,29.6,reversing_positive,29.6,29.6,-0.033255523489615364,-0.02860196292257361,-0.08152746399931017,-0.06370318953648463,3.0,5,2,-35.12,False,4.497354497354511,-0.7537688442211032,16.176470588235304,9.661241853910674,93.35,12.62155595437773,-26.583644812677143,12.26,9.661241853910674,12.62155595437773,True,8.665749656121037,16.176470588235304,-18.974358974358974,-0.995492197789638,3.5549146338575754,7.609285838318169,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,inactive,zero,,51.76,inactive,51.76,51.76,0.0,0.0,0.0,0.0,0.0,0,0,0.0
3354,律勝,電子零組件,2026-08-10,excluded,0,5,279,212,201,39.36,37.23,-2.13,"[34000, 23000, -9000, -3000, 37000]","[0, 0, 0, 0, 0]",True,,split,-0.305,-305,-4.0,-4000,0.0,0,3.5,12.5,5.0,5.0,6.0,4.0,5.0,Q2,unconfirmed_accumulation,7.23,7.23,8.36,5,0.16570741764953048,1,265.0,265000,37.0,37000,25.0,25000,82.0,82000,72.32,active,positive,72.32,83.57,accelerating,83.57,83.57,0.18454038997214484,0.3523809523809524,0.10504201680672269,0.1663286004056795,5.0,8,3,72.32,False,2.6960784313725616,-0.7109004739336622,3.970223325062028,-16.198183691538425,9.91,0.41530869120445235,-45.2580953621277,1.43,-16.198183691538425,0.41530869120445235,True,-17.193675889328063,3.970223325062028,-37.648809523809526,-0.995492197789638,3.5549146338575754,7.609285838318169,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,inactive,zero,,51.76,inactive,51.76,51.76,0.0,0.0,0.0,0.0,0.0,0,0,0.0
3357,臺慶科,電子零組件,2026-08-10,excluded,0,0,642,591,705,7.0,0.0,-7.0,"[30805, -58662, 74946, -522991, -51980]","[-17000, -180, -114835, 0, 0]",True,,split,35.943,35943,-61.0,-61000,0.0,0,0.0,0.0,-4.5,-4.5,4.5,2.5,0.0,Q4,confirmed_distribution,0.0,0.0,0.0,5,-0.05614879734801523,0,-771.696,-771696,-51.98,-51980,-500.025,-500025,-527.882,-527882,31.2,active,negative,31.2,31.29,stable,31.29,31.29,-0.0342200345882666,-0.02622603430877901,-0.09223851687880465,-0.05674930122554289,-3.5,3,2,-31.2,False,5.31400966183575,3.809523809523818,6.8627450980392135,-14.508383771202617,11.47,3.307830464181638,-13.440819315639985,35.98,-14.508383771202617,3.307830464181638,True,-15.503875968992254,6.8627450980392135,-5.831533477321815,-0.995492197789638,3.5549146338575754,7.609285838318169,3,-0.014138848826336205,0,-307.015,-307015,0.0,0,-114.835,-114835,-132.015,-132015,59.9,active,negative,59.9,5.87,neutral,5.87,5.87,-0.013614252139594697,0.0,-0.02118336100350489,-0.014192109223822833,-1.0,2,0,-59.9
3360,尚立,電子通路,2026-08-10,excluded,0,5,280,300,302,35.93,31.95,-3.98,"[135850, -60790, 124830, -67341, 96474]","[0, 0, 0, 0, 0]",True,,split,0.585,585,-6.0,-6000,0.0,0,3.5,12.5,5.0,5.0,6.0,2.5,5.0,Q2,unconfirmed_accumulation,3.45,3.45,6.43,5,0.06210127755975977,1,355.675,355675,96.474,96474,153.963,153963,229.023,229023,34.46,active,positive,34.46,64.28,accelerating,64.28,64.28,0.0384596669550173,0.14042794759825328,0.08664209341586944,0.06178122471000809,5.0,5,3,34.46,False,1.2461059190031154,-0.30674846625767804,2.2012578616352085,-18.359346511887775,8.21,-1.353656772222367,-4.434682663714984,64.41,-18.359346511887775,-1.353656772222367,True,-19.354838709677413,2.2012578616352085,3.1746031746031855,-0.995492197789638,3.5549146338575754,7.609285838318169,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,inactive,zero,,51.76,inactive,51.76,51.76,0.0,0.0,0.0,0.0,0.0,0,0,0.0
3362,先進光,光電業,2026-08-10,buy_candidates,67,7,90,399,391,25.74,20.75,-4.99,"[-230935, 64000, 194000, 320864, 156736]","[0, 0, 0, 0, 0]",True,,split,3.725,3725,2.0,2000,0.0,0,4.5,5.16,1.75,1.75,2.75,3.0,5.0,Q2,unconfirmed_accumulation,1.34,1.34,5.33,5,0.020037352733223247,4,201.617,201617,156.736,156736,671.6,671600,504.665,504665,13.45,active,positive,13.45,53.32,decelerating,53.32,53.32,0.0016446849992250402,0.2271536231884058,0.25791090629800306,0.02065590209561231,1.75,6,4,13.45,False,2.5936599423631135,2.005730659025784,-1.1111111111111072,-4.574799579398691,37.81,-4.666025744968683,52.03196976706299,98.57,-4.574799579398691,-4.666025744968683,True,-5.57029177718833,-1.1111111111111072,59.64125560538116,-0.995492197789638,3.5549146338575754,7.609285838318169,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,inactive,zero,,51.76,inactive,51.76,51.76,0.0,0.0,0.0,0.0,0.0,0,0,0.0
3379,彬台,電機機械,2026-08-10,excluded,0,0,643,543,706,7.5,0.0,-7.5,"[34001, 51000, -15000, -1000, -187992]","[0, 0, 0, 0, 0]",True,,split,-0.525,-525,0.0,0,0.0,0,0.0,0.0,-3.5,-3.5,4.5,3.0,0.0,Q4,confirmed_distribution,0.0,0.0,0.0,5,-0.06314564107626468,0,69.009,69009,-187.992,-187992,-203.992,-203992,-118.991,-118991,31.46,active,negative,31.46,31.16,stable,31.16,31.16,0.020848640483383685,-0.17471375464684014,-0.11104627109417528,-0.05704266538830297,-3.5,6,2,-31.46,False,1.5025041736226985,13.644859813084098,19.215686274509803,-8.25823914549395,25.29,15.660771640652229,-18.59025216335477,24.9,-8.25823914549395,15.660771640652229,True,-9.253731343283588,19.215686274509803,-10.9809663250366,-0.995492197789638,3.5549146338575754,7.609285838318169,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,inactive,zero,,51.76,inactive,51.76,51.76,0.0,0.0,0.0,0.0,0.0,0,0,0.0
3388,崇越電,電子零組件,2026-08-10,excluded,0,5,281,195,173,40.11,38.76,-1.35,"[187930, 101000, 166000, 822, 230573]","[0, 0, 0, 0, 0]",True,,split,-0.148,-148,-56.0,-56000,0.0,0,3.5,12.5,5.0,5.0,6.0,3.5,5.0,Q2,unconfirmed_accumulation,9.26,9.26,9.61,5,0.30835709946243156,5,765.627,765627,230.573,230573,397.395,397395,686.325,686325,92.56,active,positive,92.56,96.09,accelerating,96.09,96.09,0.15464088063017573,0.5596432038834952,0.37703510436432636,0.30804533213644525,5.0,7,5,92.56,False,0.688705234159781,-0.1366120218579403,2.524544179523147,-6.589842821173697,31.16,-1.0303704543344283,-39.92410065313299,3.39,-6.589842821173697,-1.0303704543344283,True,-7.585335018963335,2.524544179523147,-32.31481481481482,-0.995492197789638,3.5549146338575754,7.609285838318169,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,inactive,zero,,51.76,inactive,51.76,51.76,0.0,0.0,0.0,0.0,0.0,0,0,0.0
3430,奇鈦科,化學工業,2026-08-10,excluded,0,0,644,645,707,6.5,0.0,-6.5,"[-4979, -79577, -12000, -174632, -79406]","[0, 0, 0, 0, 0]",True,,split,-0.873,-873,0.0,0,0.0,0,0.0,0.0,-3.5,-3.5,4.5,2.0,0.0,Q4,confirmed_distribution,0.0,0.0,0.0,5,-0.08817656468907159,0,-79.63,-79630,-79.406,-79406,-266.038,-266038,-350.594,-350594,48.96,active,negative,48.96,22.56,stable,22.56,22.56,-0.012985975212002608,-0.06689637742207245,-0.09357650369328174,-0.08968892299820926,-3.5,4,0,-48.96,False,7.762557077625565,3.5087719298245723,14.009661835748787,-1.0791965988908636,54.24,10.454747201891212,-40.94261917165151,2.87,-1.0791965988908636,10.454747201891212,True,-2.0746887966805017,14.009661835748787,-33.333333333333336,-0.995492197789638,3.5549146338575754,7.609285838318169,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,inactive,zero,,51.76,inactive,51.76,51.76,0.0,0.0,0.0,0.0,0.0,0,0,0.0
3432,台端,電子零組件,2026-08-10,excluded,0,5,282,333,327,33.59,29.55,-4.04,"[0, 4000, 3000, -1000, 1000]","[0, 0, 0, 0, 0]",True,,split,0.0,0,-1.0,-1000,0.0,0,3.5,12.5,1.75,1.75,2.75,3.5,5.0,Q2,unconfirmed_accumulation,3.3,3.3,6.34,4,0.05975862618959009,1,23.132,23132,1.0,1000,3.0,3000,7.0,7000,33.03,active,positive,33.03,63.36,decelerating,63.36,63.36,0.07320253164556963,0.023809523809523808,0.037037037037037035,0.05982905982905983,1.75,7,3,33.03,False,2.515723270440251,1.8750000000000044,1.8750000000000044,-9.444068241770799,22.03,-1.679914633857571,-22.4917923657333,17.99,-9.444068241770799,-1.679914633857571,True,-10.439560439560436,1.8750000000000044,-14.88250652741513,-0.995492197789638,3.5549146338575754,7.609285838318169,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,inactive,zero,,51.76,inactive,51.76,51.76,0.0,0.0,0.0,0.0,0.0,0,0,0.0
