code,name,eligible_common_stock,old_category,new_category,old_final_score,new_final_score,category_changed,final_score_changed,chip_bonus_v1,capital_flow_score_v2_shadow,v1_rank,v2_rank,rank_change,v1_percentile,v2_percentile,case,movement_reason,flow_price_quadrant,foreign_flow_ratio_5d,trust_flow_ratio_5d,foreign_flow_percentile,trust_flow_percentile,rs20,rs20_percentile,flow_identity_score,flow_intensity_score,flow_persistence_score,flow_momentum_score,flow_price_confirmation_score,flow_relative_score,current_research_rank,shadow_rank_v2,shadow_rank_change
3317,尼克森,True,excluded,excluded,0,0,False,False,5.0,37.15,277.0,277.0,0.0,64.27640156453715,64.01564537157758,,價格未確認（Q2、RS20 -24.11）,Q2,0.08722351536854671,0.0,71.45,51.76,-24.11320345438427,3.78,3.5,12.5,3.0,6.0,5.0,7.15,,,
3321,同泰,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3322,建舜電,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3323,加百裕,True,excluded,excluded,0,0,False,False,5.0,36.72,278.0,285.0,-7.0,64.27640156453715,62.97262059973925,,全市場flow percentile偏低（外資P62、投信P52）；價格未確認（Q2、RS20 -7.35）,Q2,0.05609778044391122,0.0,62.19,51.76,-7.349831543217556,27.51,3.5,12.5,3.5,6.0,5.0,6.22,,,
3324,雙鴻,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3325,旭品,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3332,幸康,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3338,泰碩,True,excluded,excluded,0,0,False,False,0.0,6.0,640.0,684.0,-44.0,19.621903520208605,11.147327249022164,D_V1_weak_V2_weak,實際介入強度低（強度分 0.0/25）；全市場flow percentile偏低（外資P15、投信P52）；價格未確認（Q4、RS20 -6.19）,Q4,-0.13277128623188406,0.0,15.25,51.76,-6.189258535348197,32.99,0.0,0.0,1.5,4.5,0.0,0.0,,,
3339,泰谷,True,excluded,excluded,0,0,False,False,0.0,6.5,641.0,644.0,-3.0,19.621903520208605,16.558018252933508,D_V1_weak_V2_weak,實際介入強度低（強度分 0.0/25）；全市場flow percentile偏低（外資P30、投信P52）,Q3,-0.06370318953648463,0.0,29.6,51.76,9.661241853910674,93.35,0.0,0.0,2.5,4.0,0.0,0.0,,,
3346,麗清,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
3349,寶德,False,excluded,excluded,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
