code,name,industry,as_of_date,formal_category,formal_final_score,chip_bonus_v1,v1_rank,v2_rank,rank_change,v1_percentile,v2_percentile,foreign_5d_v1,trust_5d_v1,dealer_5d_v1,institution_5d_total_v1,foreign_consecutive_v1,trust_consecutive_v1,chip_tier_v1,shadow_mode,capital_flow_v2_available,foreign_flow_1d,foreign_flow_3d,foreign_flow_5d,foreign_flow_10d,foreign_flow_1d_shares,foreign_flow_3d_shares,foreign_flow_5d_shares,foreign_flow_10d_shares,trust_flow_1d,trust_flow_3d,trust_flow_5d,trust_flow_10d,trust_flow_1d_shares,trust_flow_3d_shares,trust_flow_5d_shares,trust_flow_10d_shares,foreign_flow_ratio_1d,foreign_flow_ratio_3d,foreign_flow_ratio_5d,foreign_flow_ratio_10d,trust_flow_ratio_1d,trust_flow_ratio_3d,trust_flow_ratio_5d,trust_flow_ratio_10d,foreign_amount_ratio_5d,trust_amount_ratio_5d,foreign_positive_days_5,foreign_positive_days_10,trust_positive_days_5,trust_positive_days_10,foreign_consecutive_buy,trust_consecutive_buy,foreign_flow_momentum,trust_flow_momentum,return_1d,return_3d,return_5d,stock_return20,stock_return60,taiex_return20,taiex_return60,rs5,rs20,rs60,rs20_percentile,rs60_percentile,foreign_flow_intensity_percentile,trust_flow_intensity_percentile,foreign_flow_percentile,trust_flow_percentile,multi_flow_confirmation,dealer_prop_flow_5d_shares,dealer_hedge_flow_5d_shares,dealer_unknown_flow_5d_shares,dealer_flow_detail_level,flow_price_quadrant,flow_price_state,flow_identity_score,flow_intensity_score,flow_persistence_score,flow_momentum_score,flow_price_confirmation_score,flow_relative_score,capital_flow_score_v2_shadow,current_research_rank,shadow_rank_v2,shadow_rank_change,case,movement_reason
2945,三商家購,貿易百貨,2026-08-10,excluded,0,5,245,322,-77,64.27640156453715,58.148631029986966,5,0,3,8,1,0,外資鎖碼,True,True,2.0,3.0,5.0,26.2,2000,3000,5000,26200,0.0,0.0,0.0,0.0,0,0,0,0,0.047619047619047616,0.05172413793103448,0.06578947368421052,0.2062992125984252,0.0,0.0,0.0,0.0,0.06599685423554714,0.0,3,8,0,0,1,0,decelerating,neutral,-2.877697841726623,-2.644230769230771,-1.4598540145985384,-0.9779951100244433,-0.49140049140049546,-0.995492197789638,7.609285838318169,-5.014768648456114,0.017497087765194763,-8.100686329718664,61.8,53.06,65.06,51.76,65.06,51.76,False,-2000,5000,0,split,Q2,unconfirmed_accumulation,3.5,12.5,4.0,2.75,5.0,6.51,34.26,,,,,全市場flow percentile偏低（外資P65、投信P52）；價格未確認（Q2、RS20 +0.02）；近期flow正在減速
3002,歐格,電腦週邊,2026-08-10,excluded,0,5,246,452,-206,64.27640156453715,41.19947848761408,5,0,-1,4,1,0,外資鎖碼,True,True,15.0,-43.0,5.0,31.633,15000,-43000,5000,31633,0.0,0.0,0.0,0.0,0,0,0,0,0.07352941176470588,-0.10776942355889724,0.007530120481927711,0.01744787644787645,0.0,0.0,0.0,0.0,0.007063869531508579,0.0,3,5,0,0,1,0,reversing_negative,neutral,2.114803625377637,2.4242424242424176,3.9999999999999813,-14.646464646464652,-1.1695906432748648,-0.995492197789638,7.609285838318169,0.4450853661424059,-13.650972448675015,-8.778876481593034,13.04,49.8,49.41,51.76,49.41,51.76,False,-2000,-235,0,split,Q2,unconfirmed_accumulation,3.5,1.88,2.5,1.0,5.0,4.94,18.82,,,,,實際介入強度低（強度分 1.9/25）；全市場flow percentile偏低（外資P49、投信P52）；價格未確認（Q2、RS20 -13.65）；近期flow已轉負
3003,健和興,電子零組件,2026-08-10,excluded,0,7,80,45,35,88.33116036505866,94.26336375488917,1832,0,44,1876,4,0,外資鎖碼,True,True,1392.0,1632.0,1832.146,2017.044,1392000,1632000,1832146,2017044,0.0,0.0,0.0,0.0,0,0,0,0,0.2917015926236379,0.2644628099173554,0.26502907565456385,0.20832927081181574,0.0,0.0,0.0,0.0,0.2676809774283286,0.0,4,7,0,0,4,0,accelerating,neutral,9.919999999999995,15.462184873949592,20.315236427320492,7.176287051482078,12.62295081967213,-0.995492197789638,7.609285838318169,16.760321793462918,8.171779249271715,5.013664981353961,91.13,82.4,93.61,51.76,93.61,51.76,False,24593,19199,0,split,Q1,confirmed_accumulation,4.5,12.5,3.5,6.0,25.0,9.36,60.86,,,,,價格與RS同步確認（RS20 +8.17）；連買天數不長，但V2不只依賴連買
3005,神基,電腦週邊,2026-08-10,other_watch,48,2,458,390,68,41.19947848761408,49.34810951760104,324,-195,-353,-224,0,0,主力佈局,True,True,-208.216,88.371,323.664,6282.465,-208216,88371,323664,6282465,0.0,-12.82,-197.334,-410.84,0,-12820,-197334,-410840,-0.05923641536273115,0.009987680831826402,0.022492286309937458,0.167304865383079,0.0,-0.0014489150090415913,-0.013713273106323837,-0.010940853772203137,0.02274597789248468,-0.013638562466626225,2,7,0,3,0,0,decelerating,neutral,-0.43478260869564966,-0.43478260869564966,0.0,-0.43478260869564966,10.6280193236715,-0.995492197789638,7.609285838318169,-3.5549146338575754,0.5607095890939884,3.018733485353331,64.93,79.92,53.85,6.0,53.85,6.0,False,-46391,-308903,0,split,Q2,unconfirmed_accumulation,3.5,5.62,5.0,2.75,5.0,5.38,27.25,,,,,差異主要來自V1離散加分與V2連續型強度／排名分數
3013,晟銘電,電腦週邊,2026-08-10,excluded,0,5,247,419,-172,64.27640156453715,45.5019556714472,73,0,21,94,1,0,外資鎖碼,True,True,191.06,39.392,72.401,1585.856,191060,39392,72401,1585856,0.0,0.0,0.0,7.0,0,0,0,7000,0.18731372549019606,0.012852202283849918,0.014157411028549081,0.10595683837776441,0.0,0.0,0.0,0.0004676955969800227,0.015031382558476148,0.0,3,7,0,4,1,0,reversing_negative,neutral,2.4676850763807323,3.073286052009472,9.000000000000007,-12.361809045226124,-17.345971563981045,-0.995492197789638,7.609285838318169,5.445085366142432,-11.366316847436487,-24.955257402299214,17.21,13.95,51.5,51.76,51.5,51.76,False,-12032,34596,0,split,Q2,unconfirmed_accumulation,3.5,3.54,5.5,1.0,5.0,5.15,23.69,,,,,實際介入強度低（強度分 3.5/25）；全市場flow percentile偏低（外資P52、投信P52）；價格未確認（Q2、RS20 -11.37）；近期flow已轉負
3017,奇鋐,電腦週邊,2026-08-10,wait_pullback,42,15,8,5,3,99.21773142112124,99.47848761408083,3077,2606,30,5713,0,8,投信鎖碼,True,True,-294.723,1775.852,3076.613,3072.685,-294723,1775852,3076613,3072685,120.179,1555.379,2606.789,4153.543,120179,1555379,2606789,4153543,-0.08861184606133493,0.10517957829898128,0.10888738276411254,0.06304107424960506,0.03613319302465424,0.09212147595356551,0.09225938771898778,0.08521661434931577,0.11170136943589275,0.0923569656755164,3,4,5,9,0,8,reversing_negative,decelerating,-0.7181328545781018,1.2820512820512775,8.4313725490196,24.269662921348313,8.219178082191792,-0.995492197789638,7.609285838318169,4.876457915162024,25.26515511913795,0.609892243873623,99.35,75.1,75.88,99.48,75.88,99.48,True,97328,-66478,0,split,Q1,confirmed_accumulation,10.0,25.0,6.5,1.75,25.0,17.54,85.79,,,,A_V1_strong_V2_strong,5日資金強度分 25.0/25；橫向強度高（外資P76、投信P99）；價格與RS同步確認（RS20 +25.27）
3018,隆銘綠能,其他電子,2026-08-10,excluded,0,5,248,311,-63,64.27640156453715,59.58279009126467,93,0,-1,92,1,0,外資鎖碼,True,True,3.0,30.0,93.0,168.0,3000,30000,93000,168000,0.0,0.0,0.0,0.0,0,0,0,0,0.031914893617021274,0.14285714285714285,0.22518159806295399,0.0740414279418246,0.0,0.0,0.0,0.0,0.22748062941598116,0.0,4,8,0,0,1,0,reversing_negative,neutral,-1.7543859649122862,-0.3558718861210064,-2.4390243902439046,16.666666666666675,32.07547169811322,-0.995492197789638,7.609285838318169,-5.99393902410148,17.662158864456313,24.46618585979505,97.39,93.61,89.96,51.76,89.96,51.76,False,-1000,0,0,mixed,Q2,unconfirmed_accumulation,3.5,12.5,4.0,1.0,5.0,9.0,35.0,,,,,價格未確認（Q2、RS20 +17.66）；近期flow已轉負
3021,鴻名,電子零組件,2026-08-10,excluded,0,5,249,431,-182,64.27640156453715,43.9374185136897,3,0,-1,2,1,0,外資鎖碼,True,True,24.0,47.0,3.0,116.05,24000,47000,3000,116050,0.0,0.0,0.0,0.0,0,0,0,0,0.2696629213483146,0.12239583333333333,0.002849002849002849,0.04536747458952307,0.0,0.0,0.0,0.0,0.002127760391164943,0.0,2,5,0,0,1,0,accelerating,neutral,1.449275362318847,-0.23752969121140222,4.218362282878418,-15.662650602409634,23.529411764705888,-0.995492197789638,7.609285838318169,0.663447649020843,-14.667158404619997,15.920125926387719,11.08,90.22,47.2,51.76,47.2,51.76,False,-1000,0,0,split,Q2,unconfirmed_accumulation,3.5,0.71,2.5,6.0,5.0,4.72,22.43,,,,,實際介入強度低（強度分 0.7/25）；全市場flow percentile偏低（外資P47、投信P52）；價格未確認（Q2、RS20 -14.67）
3023,信邦,電子零組件,2026-08-10,other_watch,51,6,146,194,-48,81.42112125162973,74.83702737940025,-142,753,-587,24,1,0,外資鎖碼,True,True,593.843,-647.073,-141.384,313.482,593843,-647073,-141384,313482,0.0,544.0,753.0,1052.0,0,544000,753000,1052000,0.3607794653705954,-0.13243409742120343,-0.01839261090152205,0.016640938528506212,0.0,0.11133851821530905,0.09795759073760894,0.05584456948720671,-0.019495131001022712,0.09813816165438918,2,4,4,9,1,0,neutral,decelerating,-1.1006289308176154,-1.1006289308176154,5.008347245409017,-2.9320987654321007,7.337883959044378,-0.995492197789638,7.609285838318169,1.4534326115514418,-1.9366065676424626,-0.27140187927379156,48.11,72.75,40.29,99.61,40.29,99.61,False,-541230,-46049,0,split,Q2,unconfirmed_accumulation,3.5,12.5,6.5,2.75,5.0,9.96,40.21,,,,,價格未確認（Q2、RS20 -1.94）；近期flow正在減速
3027,盛達,通信網路,2026-08-10,excluded,0,7,81,258,-177,88.33116036505866,66.49282920469362,223,0,-51,172,9,0,外資鎖碼,True,True,33.0,134.0,223.306,493.109,33000,134000,223306,493109,0.0,0.0,0.0,0.0,0,0,0,0,0.20625,0.3182897862232779,0.2719926918392205,0.17990113097409705,0.0,0.0,0.0,0.0,0.2720427911949395,0.0,5,9,0,0,9,0,decelerating,neutral,0.0,0.8130081300813163,2.197802197802212,-6.999999999999995,5.982905982905984,-0.995492197789638,7.609285838318169,-1.3571124360553632,-6.004507802210357,-1.6263798554121855,34.16,70.01,94.13,51.76,94.13,51.76,False,-51414,0,0,split,Q2,unconfirmed_accumulation,3.5,12.5,4.5,2.75,5.0,9.41,37.66,,,,,V1連買訊號高（外資9日／投信0日）；價格未確認（Q2、RS20 -6.00）；近期flow正在減速
